ATTEND_RECORD_IDX,USER_IDX,ATTEND_STATUS,REG_DATE
1,1,NA,24-01-02 8:48
2,1,NL,24-01-02 18:22
3,1,BT,24-01-03 18:00
4,1,NA,24-01-04 8:46
5,1,NL,24-01-04 18:26
6,1,LA,24-01-05 9:27
7,1,NL,24-01-05 18:18
8,1,NA,24-01-08 8:42
9,1,NL,24-01-08 18:23
10,1,NA,24-01-09 8:57
11,1,EL,24-01-09 17:09
12,1,NA,24-01-10 8:41
13,1,NL,24-01-10 18:05
14,1,NA,24-01-11 8:38
15,1,NL,24-01-11 18:01
16,1,NA,24-01-12 8:40
17,1,NL,24-01-12 18:28
18,1,NA,24-01-15 8:31
19,1,NL,24-01-15 18:28
20,1,NA,24-01-16 8:45
21,1,LL,24-01-16 19:44
22,1,NA,24-01-17 8:34
23,1,NL,24-01-17 18:23
24,1,NA,24-01-18 8:32
25,1,NL,24-01-18 18:25
26,1,NA,24-01-19 8:49
27,1,NL,24-01-19 18:15
28,1,NA,24-01-22 8:48
29,1,NL,24-01-22 18:19
30,1,VC,24-01-23 18:00
31,1,NA,24-01-24 8:31
32,1,EL,24-01-24 17:15
33,1,NA,24-01-25 8:37
34,1,EL,24-01-25 17:40
35,1,NA,24-01-26 8:34
36,1,NL,24-01-26 18:03
37,1,NA,24-01-29 8:49
38,1,NL,24-01-29 18:15
39,1,NA,24-01-30 8:34
40,1,EL,24-01-30 17:38
41,1,NA,24-01-31 8:38
42,1,NL,24-01-31 18:19
43,1,NA,24-02-01 8:40
44,1,EL,24-02-01 17:56
45,1,NA,24-02-02 8:57
46,1,NL,24-02-02 18:02
47,1,NA,24-02-05 8:58
48,1,EL,24-02-05 17:34
49,1,NA,24-02-06 8:57
50,1,NL,24-02-06 18:17
51,1,NA,24-02-07 8:47
52,1,NL,24-02-07 18:05
53,1,NA,24-02-08 8:48
54,1,NL,24-02-08 18:01
55,1,NA,24-02-09 8:50
56,1,NL,24-02-09 18:20
57,1,NA,24-02-12 8:33
58,1,NL,24-02-12 18:06
59,1,NA,24-02-13 8:39
60,1,NL,24-02-13 18:24
61,1,LA,24-02-14 9:04
62,1,NL,24-02-14 18:16
63,1,LA,24-02-15 9:21
64,1,NL,24-02-15 18:14
65,1,VC,24-02-16 18:00
66,1,NA,24-02-19 8:42
67,1,OT,24-02-19 12:48
68,1,RT,24-02-19 14:16
69,1,NL,24-02-19 18:25
70,1,NA,24-02-20 8:47
71,1,NL,24-02-20 18:10
72,1,NA,24-02-21 8:36
73,1,NL,24-02-21 18:20
74,1,NA,24-02-22 8:47
75,1,NL,24-02-22 18:01
76,1,NA,24-02-23 8:59
77,1,EL,24-02-23 16:13
78,1,NA,24-02-26 8:55
79,1,NL,24-02-26 18:23
80,1,LA,24-02-27 9:09
81,1,NL,24-02-27 18:14
82,1,NA,24-02-28 8:58
83,1,NL,24-02-28 18:00
84,1,NA,24-02-29 8:32
85,1,NL,24-02-29 18:08
86,1,NA,24-03-04 8:53
87,1,EL,24-03-04 16:45
88,1,NA,24-03-05 8:55
89,1,NL,24-03-05 18:22
90,1,NA,24-03-06 8:50
91,1,EL,24-03-06 17:01
92,1,NA,24-03-07 8:44
93,1,NL,24-03-07 18:06
94,1,NA,24-03-08 8:43
95,1,LL,24-03-08 19:15
96,1,NA,24-03-11 8:40
97,1,NL,24-03-11 18:01
